Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
DecisionTreeClassifier(); 462; 0.9772; 925; 13; 23; 620; 1.39; 3.58; 0.9752
DecisionTreeClassifier(); 462; 0.9766; 924; 14; 23; 620; 1.49; 3.58; 0.9747
DecisionTreeClassifier(criterion='entropy'); 462; 0.9772; 924; 14; 22; 621; 1.49; 3.42; 0.9754
DecisionTreeClassifier(criterion='log_loss'); 462; 0.9747; 920; 18; 22; 621; 1.92; 3.42; 0.9733
DecisionTreeClassifier(); 462; 0.9760; 924; 14; 24; 619; 1.49; 3.73; 0.9739
DecisionTreeClassifier(splitter='random'); 462; 0.9779; 924; 14; 21; 622; 1.49; 3.27; 0.9762
DecisionTreeClassifier(); 462; 0.9779; 924; 14; 21; 622; 1.49; 3.27; 0.9762
DecisionTreeClassifier(max_depth=5); 462; 0.9551; 935; 3; 68; 575; 0.32; 10.58; 0.9455
DecisionTreeClassifier(max_depth=10); 462; 0.9766; 935; 3; 34; 609; 0.32; 5.29; 0.9720
DecisionTreeClassifier(max_depth=15); 462; 0.9766; 930; 8; 29; 614; 0.85; 4.51; 0.9732
DecisionTreeClassifier(); 462; 0.9753; 921; 17; 22; 621; 1.81; 3.42; 0.9738
DecisionTreeClassifier(min_samples_split=4); 462; 0.9798; 927; 11; 21; 622; 1.17; 3.27; 0.9778
DecisionTreeClassifier(min_samples_split=6); 462; 0.9817; 928; 10; 19; 624; 1.07; 2.95; 0.9799
DecisionTreeClassifier(); 462; 0.9747; 919; 19; 21; 622; 2.03; 3.27; 0.9735
DecisionTreeClassifier(min_samples_leaf=2); 462; 0.9772; 930; 8; 28; 615; 0.85; 4.35; 0.9740
DecisionTreeClassifier(min_samples_leaf=4); 462; 0.9728; 927; 11; 32; 611; 1.17; 4.98; 0.9693
DecisionTreeClassifier(min_samples_leaf=6); 462; 0.9728; 925; 13; 30; 613; 1.39; 4.67; 0.9697
DecisionTreeClassifier(max_features='sqrt'); 462; 0.9665; 913; 25; 28; 615; 2.67; 4.35; 0.9649
DecisionTreeClassifier(max_features='log2'); 462; 0.9677; 926; 12; 39; 604; 1.28; 6.07; 0.9633
DecisionTreeClassifier(); 462; 0.9753; 922; 16; 23; 620; 1.71; 3.58; 0.9736
DecisionTreeClassifier(max_features=1); 462; 0.9658; 922; 16; 38; 605; 1.71; 5.91; 0.9619
DecisionTreeClassifier(max_features=5); 462; 0.9715; 926; 12; 33; 610; 1.28; 5.13; 0.9679
DecisionTreeClassifier(max_features=25); 462; 0.9709; 925; 13; 33; 610; 1.39; 5.13; 0.9674
DecisionTreeClassifier(max_features=100); 462; 0.9760; 922; 16; 22; 621; 1.71; 3.42; 0.9744
DecisionTreeClassifier(); 462; 0.9772; 926; 12; 24; 619; 1.28; 3.73; 0.9749
DecisionTreeClassifier(class_weight='balanced'); 462; 0.9627; 917; 21; 38; 605; 2.24; 5.91; 0.9593
DecisionTreeClassifier(class_weight={0: 1, 1: 2}); 462; 0.9602; 918; 20; 43; 600; 2.13; 6.69; 0.9559
DecisionTreeClassifier(class_weight={0: 2, 1: 1}); 462; 0.9747; 921; 17; 23; 620; 1.81; 3.58; 0.9731
DecisionTreeClassifier(class_weight={0: 1, 1: 5}); 462; 0.9595; 913; 25; 39; 604; 2.67; 6.07; 0.9563
DecisionTreeClassifier(class_weight={0: 5, 1: 1}); 462; 0.9728; 922; 16; 27; 616; 1.71; 4.20; 0.9705
SVC(); 462; 0.9760; 925; 13; 25; 618; 1.39; 3.89; 0.9736
SVC(C=0.1); 462; 0.9443; 907; 31; 57; 586; 3.30; 8.86; 0.9392
SVC(C=1); 462; 0.9760; 925; 13; 25; 618; 1.39; 3.89; 0.9736
SVC(C=10); 462; 0.9791; 925; 13; 20; 623; 1.39; 3.11; 0.9775
SVC(kernel='linear'); 462; 0.9715; 922; 16; 29; 614; 1.71; 4.51; 0.9689
SVC(); 462; 0.9760; 925; 13; 25; 618; 1.39; 3.89; 0.9736
SVC(kernel='poly'); 462; 0.8324; 937; 1; 264; 379; 0.11; 41.06; 0.7942
SVC(kernel='sigmoid'); 462; 0.9766; 931; 7; 30; 613; 0.75; 4.67; 0.9729
SVC(degree=2); 462; 0.9760; 925; 13; 25; 618; 1.39; 3.89; 0.9736
SVC(); 462; 0.9760; 925; 13; 25; 618; 1.39; 3.89; 0.9736
SVC(degree=4); 462; 0.9760; 925; 13; 25; 618; 1.39; 3.89; 0.9736
SVC(); 462; 0.9760; 925; 13; 25; 618; 1.39; 3.89; 0.9736
SVC(gamma='auto'); 462; 0.9760; 925; 13; 25; 618; 1.39; 3.89; 0.9736
SVC(gamma=0.1); 462; 0.8741; 742; 196; 3; 640; 20.90; 0.47; 0.8932
SVC(gamma=1); 462; 0.8197; 655; 283; 2; 641; 30.17; 0.31; 0.8476
SVC(); 462; 0.9760; 925; 13; 25; 618; 1.39; 3.89; 0.9736
SVC(class_weight='balanced'); 462; 0.9747; 921; 17; 23; 620; 1.81; 3.58; 0.9731
SVC(class_weight={0: 1, 1: 2}); 462; 0.9779; 923; 15; 20; 623; 1.60; 3.11; 0.9765
SVC(class_weight={0: 2, 1: 1}); 462; 0.9766; 928; 10; 27; 616; 1.07; 4.20; 0.9737
SVC(class_weight={0: 1, 1: 5}); 462; 0.9766; 917; 21; 16; 627; 2.24; 2.49; 0.9764
SVC(class_weight={0: 5, 1: 1}); 462; 0.9772; 930; 8; 28; 615; 0.85; 4.35; 0.9740
LinearRegression(); 462; 0.9620; 933; 5; 55; 588; 0.53; 8.55; 0.9546
LinearRegression(); 462; 0.9620; 933; 5; 55; 588; 0.53; 8.55; 0.9546
